Country,ISO,Currency,Value
Syrien,SYP,Syrisches Pfund,561.1446
Tadschikistan,TJS,Somoni,11.9783
Taiwan,TWD,Neuer Taiwan Dollar,34.3842
"Tansania, Vereinigte Republik",TZS,Tansania Schilling,2787.5819
Togo,XOF,CFA Franc (West),655.7822
Tonga,TOP,Pa'Anga,2.5817
Trinidad und Tobago,TTD,Trinidad und Tobago Dollar,7.4229
Tschad,XAF,CFA Franc (Äquatorial),657.9891
Tunesien,TND,Tunesische Dinar,3.3846
Turkmenistan,TMT,Turkmenistan Neuer Manat,3.8386
Uganda,UGX,Uganda Schilling,4271.9095
Ukraine,UAH,Hryvnia,41.8284
Uruguay,UYU,Uruguay Peso,42.5019
Usbekistan,UZS,Usbekistan Sum,13690.1655
Vanuatu,VUV,Vatu,126.8617
Venezuela,VES,Bolivar Soberano,39.5382
Vereinigte Arabische Emirate,AED,Dirham,4.0192
Vietnam,VND,Dong,26979.5411
Wallis und Futuna,XPF,CFP Franc,119.3274
Zentralafrikanische Republik,XAF,CFA Franc (Äquatorial),657.9891
Australien,AUD,Australischer Dollar,1.65
Vereinigte Staaten von Amerika,USD,US Dollar,1.09
China,CNY,Renminbi Yuan,7.85
Großbritannien,GBP,Pfund Sterling,7.85
Hongkong,HKD,Hongkong Dollar,8.56
Japan,JPY,Yen,160.61
Kanada,CAD,Kanadischer Dollar,1.48
Schweiz,CHF,Schweizer Franken,0.96
